Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.175748920268411,0.165789407892482,-0.438271405453909,0,0,0,4.36700755653188,0.030365726134738,0.00652149162392971,0.00297506888940774,0.0178204642076725,0.000563260489121419,0.0284925976105569,0,0,0,0,0,0,package://Project2_Assembly/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/base_link.STL,,robot_base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
platform_link,8.32667268468867E-17,-5.55111512312578E-17,0.00454448000326668,0,0,0,0.221453327467568,0.000766812354982266,1.38913403349705E-19,-1.26546722319792E-18,0.00100112681592481,1.02999206386123E-18,0.00157928891231331,0,0,0,0,0,0,package://Project2_Assembly/meshes/platform_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/platform_link.STL,,platform-1,Origin_platform_joint2,Axis_platform_joint,platform_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
left_arm_link,5.55111512312578E-17,-1.11022302462516E-16,0.0269203616457798,0,0,0,0.0772222198144585,4.25551704324029E-05,1.6940658945086E-21,-2.5410988417629E-20,4.25551704324029E-05,9.95396061921811E-20,1.8682757750811E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_arm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_arm_link.STL,,Joint1-7,Origin_left_arm_joint,Axis_left_arm_joint,left_arm_joint,continuous,0,-0.112779638354221,-0.0279400000000001,-1.57079632679486,1.49005517178331,-3.14159265358976,base_link,0,0,1,,,,,,,,,,,,
left_arm_link1,0.0634999999999999,-7.76462227847219E-14,0.0040296383542201,0,0,0,0.0561945800618472,1.42240417239566E-05,2.92460359654413E-17,-4.70103285726137E-20,3.81793048154064E-05,8.470329472543E-21,5.08927425696672E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_arm_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_arm_link1.STL,,Link1-16,Origin_left_arm_joint1,Axis_left_arm_joint1,left_arm_joint1,continuous,0,0,0.0499999999999999,3.14159265358979,0,-2.73383166744153,left_arm_link,0,0,1,,,,,,,,,,,,
left_arm_link2,-1.52655665885959E-15,2.4980018054066E-16,-0.0103796383542208,0,0,0,0.0514814798763058,1.10712638523325E-05,4.76456032830544E-22,-1.48230765769503E-20,1.10712638523325E-05,1.47171974585435E-20,1.66068957784987E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_arm_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_arm_link2.STL,,Joint2-7,Origin_left_arm_joint2,Axis_left_arm_joint2,left_arm_joint2,continuous,0.127,0,0,-3.14159265358979,0,0.141401224368281,left_arm_link1,0,0,1,,,,,,,,,,,,
left_arm_link3,0.0635000000000196,6.46704911844154E-15,0.00445605177225594,0,0,0,0.0561945800618472,1.42240417239566E-05,4.89690922631392E-20,1.63053842346453E-19,3.81793048154064E-05,-3.87517573368842E-20,5.08927425696671E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_arm_link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_arm_link3.STL,,Link1-15,Origin_left_arm_joint3,Axis_left_arm_joint3,left_arm_joint3,continuous,0,0,-0.0122735865819643,3.14159265358979,0,-0.51044745877229,left_arm_link2,0,0,1,,,,,,,,,,,,
left_arm_link4,1.13797860024079E-14,1.6903145549918E-14,-0.00189394822774391,0,0,0,0.0514814798763058,1.10712638523325E-05,2.11758236813575E-22,-3.3881317890172E-21,1.10712638523325E-05,1.05879118406788E-21,1.66068957784987E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_arm_link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_arm_link4.STL,,Joint2-3,Origin_left_arm_joint4,Axis_left_arm_joint4,left_arm_joint4,continuous,0.12700000000002,0,0,0,0,2.25512297298652,left_arm_link3,0,0,1,,,,,,,,,,,,
left_arm_link5,-0.0643991133502865,-7.39686090156511E-14,0.00824394822774355,0,0,0,0.0573547240000001,1.31052198647767E-05,-2.4546591294956E-17,1.35737029797502E-19,4.03881189381033E-05,4.2351647362715E-21,5.19515482305533E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_arm_link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_arm_link5.STL,,link2-9,Origin_left_arm_joint5,Axis_left_arm_joint5,left_arm_joint5,continuous,0,0,0,3.14159265358979,0,-0.136200538453035,left_arm_link4,0,0,1,,,,,,,,,,,,
left_arm_dummy_link,0.0245008866497048,0.0254,0.00635000000000008,0,0,0,0.0573547240000001,1.31052198647767E-05,5.11396141904784E-20,5.9292306307801E-20,4.03881189381033E-05,-1.77876918923403E-20,5.19515482305533E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_arm_dummy_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_arm_dummy_link.STL,,link2-9,Origin_left_arm_dummy_joint,Axis_left_arm_dummy_joint,left_arm_dummy_joint,fixed,-0.0888999999999685,-0.0254000000000961,0.00189394822774358,0,0,0,left_arm_link5,0,0,0,,,,,,,,,,,,
right_arm_link,5.55111512312578E-17,2.08166817117217E-15,0.0270180534713057,0,0,0,0.0772222198144587,4.2555170432403E-05,-1.85288457211878E-22,6.22569216231911E-20,4.2555170432403E-05,-4.31457407507659E-20,1.86827577508111E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_arm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_arm_link.STL,,Joint1-2,Origin_right_arm_joint,Axis_right_arm_joint,right_arm_joint,continuous,0,0.112681946528693,-0.0279400000000012,1.57079632679492,1.49631531067135,-3.14159265358978,base_link,0,0,1,,,,,,,,,,,,
right_arm_link1,0.0635000000000006,1.97064586870965E-15,0.00190156102875016,0,0,0,0.0561945800618471,1.42240417239566E-05,2.35051642863068E-20,-3.0916702574782E-20,3.81793048154063E-05,-1.35525271560688E-20,5.08927425696671E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_arm_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_arm_link1.STL,,Link1-11,Origin_right_arm_joint1,Axis_right_arm_joint1,right_arm_joint1,continuous,0,0,0.0441664924425549,0,0,2.49526943677936,right_arm_link,0,0,1,,,,,,,,,,,,
right_arm_link2,-2.77555756156289E-17,-2.77555756156289E-17,-0.00444843897124922,0,0,0,0.0514814798763058,1.10712638523325E-05,-1.00150892664858E-21,-3.93158945146454E-21,1.10712638523325E-05,-5.0821976835258E-21,1.66068957784987E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_arm_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_arm_link2.STL,,Joint2-2,Origin_right_arm_joint2,Axis_right_arm_joint2,right_arm_joint2,continuous,0.127,0,0,0,0,2.2545,right_arm_link1,0,0,1,,,,,,,,,,,,
right_arm_link3,0.0635000000000153,1.44606548957427E-14,-0.0107984389712492,0,0,0,0.056194580061847,1.42240417239566E-05,-1.42010367563104E-19,-3.81164826264435E-21,3.81793048154062E-05,-1.84494363823827E-20,5.08927425696669E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_arm_link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_arm_link3.STL,,Link1-13,Origin_right_arm_joint3,Axis_right_arm_joint3,right_arm_joint3,continuous,0,0,0,0,0,-1.57576453791578,right_arm_link2,0,0,1,,,,,,,,,,,,
right_arm_link4,-1.15740750317173E-14,-9.99200722162641E-15,0.00444843897124952,0,0,0,0.0514814798763058,1.10712638523325E-05,-4.2351647362715E-22,2.96461531539005E-21,1.10712638523325E-05,-4.2351647362715E-21,1.66068957784987E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_arm_link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_arm_link4.STL,,Joint2-5,Origin_right_arm_joint4,Axis_right_arm_joint4,right_arm_joint4,continuous,0.127000000000015,0,0,3.14159265358979,0,0.791256864324291,right_arm_link3,0,0,1,,,,,,,,,,,,
right_arm_link5,-0.0643991133502805,-1.00697228333502E-13,-0.00190156102875053,0,0,0,0.057354724,1.31052198647767E-05,-4.07117651070511E-17,4.31986803099693E-20,4.03881189381032E-05,-1.05879118406788E-21,5.19515482305532E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_arm_link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_arm_link5.STL,,link2-10,Origin_right_arm_joint5,Axis_right_arm_joint5,right_arm_joint5,continuous,0,0,0,0,0,-2.2001,right_arm_link4,0,0,1,,,,,,,,,,,,
right_arm_dummy_link,0.0245008866497046,0.0253999999999988,0.00634999999999999,0,0,0,0.057354724,1.31052198647767E-05,8.99972506457694E-21,1.99052742604761E-20,4.03881189381032E-05,-8.89384594617015E-21,5.19515482305532E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_arm_dummy_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_arm_dummy_link.STL,,link2-10,Origin_right_arm_dummy_joint,Axis_right_arm_dummy_joint,right_arm_dummy_joint,fixed,-0.0888999999999474,-0.0254000000001373,-0.00825156102875052,0,0,0,right_arm_link5,0,0,0,,,,,,,,,,,,
left_rear_hip_link,0,-2.77555756156289E-17,1.11022302462516E-16,0,0,0,0.0772222198144587,4.2555170432403E-05,8.470329472543E-22,2.03287907341032E-20,4.2555170432403E-05,-3.89635155736978E-20,1.86827577508111E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_rear_hip_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_rear_hip_link.STL,,Joint1-5,Origin_left_rear_hip_joint,,left_rear_hip_joint,fixed,0.1016,-0.0889,-0.07874,1.5708,1.3266,0,base_link,0,0,0,,,,,,,,,,,,
left_rear_hip_link1,-0.0634999999999989,1.11022302462516E-15,-0.00348570857054564,0,0,0,0.0561945800618471,1.42240417239566E-05,-3.08372932359769E-20,1.49501315190384E-19,3.81793048154063E-05,1.33407689192552E-20,5.0892742569667E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_rear_hip_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_rear_hip_link1.STL,,Link1-14,Origin_left_rear_hip_joint1,Axis_left_rear_hip_joint1,left_rear_hip_joint1,continuous,0,0,0.0155642914294541,-3.14159265358979,0,2.9227694943902,left_rear_hip_link,0,0,1,,,,,,,,,,,,
left_rear_knee_link,5.55111512312578E-17,-1.11022302462516E-16,-0.00286429142945449,0,0,0,0.0514814798763059,1.10712638523325E-05,2.11758236813575E-22,-3.0916702574782E-20,1.10712638523325E-05,-1.94817577868489E-20,1.66068957784988E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_rear_knee_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_rear_knee_link.STL,,Joint2-6,Origin_left_rear_knee_joint,Axis_left_rear_knee_joint,left_rear_knee_joint,continuous,-0.127,0,0,3.14159265358979,0,1.22925344599165,left_rear_hip_link1,0,0,1,,,,,,,,,,,,
left_rear_knee_link1,-0.0643991133502946,-3.27515792264421E-15,0.00921429142945451,0,0,0,0.0573547240000001,1.31052198647767E-05,-1.33614153473446E-18,-6.01393392550553E-20,4.03881189381034E-05,-6.35274710440725E-22,5.19515482305534E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_rear_knee_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_rear_knee_link1.STL,,link2-11,Origin_left_rear_knee_joint1,Axis_left_rear_knee_joint1,left_rear_knee_joint1,continuous,0,0,0,3.14159265358979,0,1.02130634175399,left_rear_knee_link,0,0,1,,,,,,,,,,,,
left_rear_dummy_link,0.0245008866497048,0.0254,0.00635000000000019,0,0,0,0.0573547240000001,1.31052198647767E-05,2.45110159111713E-20,-5.9292306307801E-20,4.03881189381034E-05,2.85873619698326E-21,5.19515482305534E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_rear_dummy_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_rear_dummy_link.STL,,link2-11,Origin_left_rear_dummy_joint,Axis_left_rear_dummy_joint,left_rear_dummy_joint,fixed,-0.0888999999999984,-0.0254000000000045,0.00286429142945438,0,0,0,left_rear_knee_link1,0,0,0,,,,,,,,,,,,
left_front_hip_link,-5.55111512312578E-17,0,-1.11022302462516E-16,0,0,0,0.0772222198144586,4.25551704324029E-05,-2.91167575618666E-21,7.83505476210228E-20,4.25551704324029E-05,-1.84759061619844E-20,1.8682757750811E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_front_hip_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_front_hip_link.STL,,Joint1-4,Origin_left_front_hip_joint,,left_front_hip_joint,fixed,-0.1016,-0.0889,-0.07874,-1.5708,1.4089,3.1416,base_link,0,0,0,,,,,,,,,,,,
left_front_hip_link1,-0.0634999999999989,3.28903571045203E-15,-0.00413058115419834,0,0,0,0.0561945800618472,1.42240417239566E-05,1.79729803495522E-20,3.64224167319349E-20,3.81793048154064E-05,-4.80691197566815E-20,5.08927425696672E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_front_hip_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_front_hip_link1.STL,,Link1-12,Origin_left_front_hip_joint1,Axis_left_front_hip_joint1,left_front_hip_joint1,continuous,0,0,0.0149194188458016,3.14159265358979,0,-2.99385816079686,left_front_hip_link,0,0,1,,,,,,,,,,,,
left_front_knee_link,-5.55111512312578E-17,0,-0.00221941884580201,0,0,0,0.0514814798763057,1.10712638523324E-05,2.11758236813575E-22,1.03761536038652E-20,1.10712638523324E-05,4.02340649945793E-21,1.66068957784987E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_front_knee_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_front_knee_link.STL,,Joint2-8,Origin_left_front_knee_joint,Axis_left_front_knee_joint,left_front_knee_joint,continuous,-0.127000000000001,0,0,3.14159265358979,0,2.71763994433786,left_front_hip_link1,0,0,1,,,,,,,,,,,,
left_front_knee_link1,-0.0643991133502949,-9.71445146547012E-16,0.00856941884580165,0,0,0,0.057354724,1.31052198647767E-05,-9.67440665939969E-19,-5.84452733605467E-20,4.03881189381033E-05,4.02340649945793E-21,5.19515482305533E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_front_knee_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_front_knee_link1.STL,,link2-12,Origin_left_front_knee_joint1,Axis_left_front_knee_joint1,left_front_knee_joint1,continuous,0,0,0,-3.14159265358979,0,2.62289732606784,left_front_knee_link,0,0,1,,,,,,,,,,,,
left_front_dummy_link,0.0245008866497048,0.0254000000000001,0.00634999999999991,0,0,0,0.057354724,1.31052198647767E-05,-1.02117928161509E-19,8.42797782518029E-20,4.03881189381033E-05,4.74073752666391E-20,5.19515482305533E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_front_dummy_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/left_front_dummy_link.STL,,link2-12,Origin_left_front_dummy_joint,Axis_left_front_dummy_joint,left_front_dummy_joint,fixed,-0.0888999999999987,-0.0254000000000019,0.00221941884580146,0,0,0,left_front_knee_link1,0,0,0,,,,,,,,,,,,
right_front_hip_link,1.38777878078145E-17,5.55111512312578E-17,0.0271859005085105,0,0,0,0.0772222198144587,4.25551704324029E-05,-2.38228016415272E-22,-7.70270586409379E-21,4.25551704324029E-05,-4.06575814682064E-20,1.86827577508111E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_front_hip_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_front_hip_link.STL,,Joint1-1,Origin_right_front_hip_joint,Axis_right_front_hip_joint,right_front_hip_joint,continuous,-0.1016,0.061714,-0.07874,1.5708,-0.063777,3.1416,base_link,0,0,1,,,,,,,,,,,,
right_front_hip_link1,0.0635000000000002,-1.61759494687885E-13,0.0040748192125461,0,0,0,0.056194580061847,1.42240417239566E-05,6.100495398759E-17,5.46336250979024E-20,3.81793048154062E-05,-1.42936809849163E-20,5.08927425696669E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_front_hip_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_front_hip_link1.STL,,Link1-9,Origin_right_front_hip_joint1,Axis_right_front_hip_joint1,right_front_hip_joint1,continuous,0,0,0.0421610812959619,0,0,-1.62386123679691,right_front_hip_link,0,0,1,,,,,,,,,,,,
right_front_knee_link,0,0,-0.00227518078745398,0,0,0,0.0514814798763057,1.10712638523325E-05,-4.2351647362715E-22,1.65171424714589E-20,1.10712638523324E-05,8.68208770935658E-21,1.66068957784987E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_front_knee_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_front_knee_link.STL,,Joint2-1,Origin_right_front_knee_joint,Axis_right_front_knee_joint,right_front_knee_joint,continuous,0.127,0,0,0,0,-2.53988297981886,right_front_hip_link1,0,0,1,,,,,,,,,,,,
right_front_knee_link1,-0.0643991133502952,-1.66533453693773E-16,-0.00862518078745406,0,0,0,0.0573547240000001,1.31052198647767E-05,-5.85776222585552E-20,-2.45639554703747E-20,4.03881189381034E-05,2.00111533788828E-20,5.19515482305535E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_front_knee_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_front_knee_link1.STL,,link2-7,Origin_right_front_knee_joint1,Axis_right_front_knee_joint1,right_front_knee_joint1,continuous,0,0,0,0,0,-0.444918552874764,right_front_knee_link,0,0,1,,,,,,,,,,,,
right_front_dummy_link,0.0245008866497047,0.0254000000000001,0.00635000000000002,0,0,0,0.0573547240000001,1.31052198647767E-05,-5.12851979782877E-20,-2.58345048912562E-20,4.03881189381034E-05,1.83170874843742E-20,5.19515482305534E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_front_dummy_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_front_dummy_link.STL,,link2-7,Origin_right_front_dummy_joint,Axis_right_front_dummy_joint,right_front_dummy_joint,fixed,-0.0888999999999999,-0.0254000000000002,-0.014975180787454,0,0,0,right_front_knee_link1,0,0,0,,,,,,,,,,,,
right_rear_hip_link,-5.55111512312578E-17,-9.71445146547012E-17,0.03383948887112,0,0,0,0.0772222198144586,4.25551704324029E-05,-4.2351647362715E-22,2.15993401549847E-20,4.25551704324029E-05,7.45388993583784E-20,1.86827577508111E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_rear_hip_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_rear_hip_link.STL,,Joint1-3,Origin_right_rear_hip_joint,Axis_right_rear_hip_joint,right_rear_hip_joint,continuous,0.101600000000001,0.0550605111288811,-0.0787400000000002,1.5707963267949,-1.01459157286801,3.14159265358979,base_link,0,0,1,,,,,,,,,,,,
right_rear_hip_link1,-0.0635000000001462,-1.87239113103033E-13,0.0028894888711179,0,0,0,0.0561945800618472,1.42240417239566E-05,2.96461531539005E-20,1.10537799616686E-19,3.81793048154063E-05,-3.3881317890172E-21,5.0892742569667E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_rear_hip_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_rear_hip_link1.STL,,Link1-10,Origin_right_rear_hip_joint1,Axis_right_rear_hip_joint1,right_rear_hip_joint1,continuous,0,0,0.05,0,0,0.449320374729743,right_rear_hip_link,0,0,1,,,,,,,,,,,,
right_rear_knee_link,8.22120149734928E-14,1.21069820835373E-13,-0.00346051112888224,0,0,0,0.0514814798763058,1.10712638523325E-05,-2.64697796016969E-21,5.0821976835258E-21,1.10712638523325E-05,-3.3881317890172E-21,1.66068957784987E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_rear_knee_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_rear_knee_link.STL,,Joint2-4,Origin_right_rear_knee_joint,Axis_right_rear_knee_joint,right_rear_knee_joint,continuous,-0.127000000000146,0,0,0,0,-0.974827855737759,right_rear_hip_link1,0,0,1,,,,,,,,,,,,
right_rear_knee_link1,-0.0643991133501527,-3.34177130412172E-14,-0.00981051112888243,0,0,0,0.0573547239999999,1.31052198647766E-05,6.35704844359253E-20,-5.59041745187838E-20,4.03881189381032E-05,7.50418251708107E-21,5.19515482305532E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_rear_knee_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_rear_knee_link1.STL,,link2-8,Origin_right_rear_knee_joint1,Axis_right_rear_knee_joint1,right_rear_knee_joint1,continuous,0,0,0,0,0,1.20572298824763,right_rear_knee_link,0,0,1,,,,,,,,,,,,
right_rear_dummy_link,0.0245008866497048,0.0254,0.00634999999999997,0,0,0,0.0573547239999999,1.31052198647766E-05,6.80140986865601E-20,-5.03984603616309E-20,4.03881189381032E-05,4.12928561786471E-21,5.19515482305532E-05,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_rear_dummy_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Project2_Assembly/meshes/right_rear_dummy_link.STL,,link2-8,Origin_right_rear_dummy_joint,Axis_right_rear_dummy_joint,right_rear_dummy_joint,fixed,-0.0888999999998575,-0.0254000000000334,-0.0161605111288824,0,0,0,right_rear_knee_link1,0,0,0,,,,,,,,,,,,
